"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년01월_남_총인구수","2026년01월_남_연령구간인구수","2026년01월_남_0~9세","2026년01월_남_10~19세","2026년01월_남_20~29세","2026년01월_남_30~39세","2026년01월_남_40~49세","2026년01월_남_50~59세","2026년01월_남_60~69세","2026년01월_남_70~79세","2026년01월_남_80~89세","2026년01월_남_90~99세","2026년01월_남_100세 이상","2026년01월_여_총인구수","2026년01월_여_연령구간인구수","2026년01월_여_0~9세","2026년01월_여_10~19세","2026년01월_여_20~29세","2026년01월_여_30~39세","2026년01월_여_40~49세","2026년01월_여_50~59세","2026년01월_여_60~69세","2026년01월_여_70~79세","2026년01월_여_80~89세","2026년01월_여_90~99세","2026년01월_여_100세 이상"
"전국  (0000000000)","51,111,158","51,111,158","2,944,237","4,627,985","5,655,881","6,674,276","7,566,267","8,645,425","7,925,166","4,560,236","2,134,021","368,877","8,787","25,432,356","25,432,356","1,508,859","2,375,583","2,936,048","3,491,283","3,851,809","4,359,850","3,909,891","2,107,065","800,893","89,624","1,451","25,678,802","25,678,802","1,435,378","2,252,402","2,719,833","3,182,993","3,714,458","4,285,575","4,015,275","2,453,171","1,333,128","279,253","7,336"
"서울특별시  (1100000000)","9,299,701","9,299,701","459,382","717,738","1,249,445","1,463,641","1,363,204","1,469,734","1,317,268","833,117","368,738","56,001","1,433","4,480,849","4,480,849","235,856","366,467","584,175","731,419","673,590","722,702","624,663","375,225","150,413","16,046","293","4,818,852","4,818,852","223,526","351,271","665,270","732,222","689,614","747,032","692,605","457,892","218,325","39,955","1,140"
"부산광역시  (2600000000)","3,239,711","3,239,711","168,926","265,123","336,648","388,026","459,235","528,984","552,024","367,173","151,912","21,216","444","1,574,469","1,574,469","86,511","135,771","171,429","200,596","232,511","259,895","259,111","164,786","58,706","5,099","54","1,665,242","1,665,242","82,415","129,352","165,219","187,430","226,724","269,089","292,913","202,387","93,206","16,117","390"
"대구광역시  (2700000000)","2,352,249","2,352,249","133,545","212,996","252,223","285,023","334,864","412,334","379,999","224,019","101,103","15,852","291","1,152,176","1,152,176","68,621","109,197","132,177","151,997","167,097","201,184","181,525","99,262","37,118","3,950","48","1,200,073","1,200,073","64,924","103,799","120,046","133,026","167,767","211,150","198,474","124,757","63,985","11,902","243"
"인천광역시  (2800000000)","3,053,308","3,053,308","188,525","276,270","336,620","431,410","473,849","516,067","473,819","236,311","101,580","18,311","546","1,524,774","1,524,774","96,768","141,501","173,519","225,285","244,373","257,849","233,447","110,002","37,780","4,160","90","1,528,534","1,528,534","91,757","134,769","163,101","206,125","229,476","258,218","240,372","126,309","63,800","14,151","456"
"광주광역시  (2900000000)","1,390,658","1,390,658","85,477","143,893","169,719","173,471","212,116","240,961","194,362","110,680","51,414","8,375","190","686,113","686,113","43,523","74,148","88,700","90,269","105,895","119,501","93,112","49,275","19,615","2,054","21","704,545","704,545","41,954","69,745","81,019","83,202","106,221","121,460","101,250","61,405","31,799","6,321","169"
"대전광역시  (3000000000)","1,440,550","1,440,550","86,409","135,652","186,923","195,029","208,676","242,636","208,567","116,181","51,427","8,841","209","717,710","717,710","44,443","69,710","97,418","103,912","104,558","121,062","101,223","53,430","19,698","2,221","35","722,840","722,840","41,966","65,942","89,505","91,117","104,118","121,574","107,344","62,751","31,729","6,620","174"
"울산광역시  (3100000000)","1,091,281","1,091,281","66,979","109,625","110,215","136,754","168,593","198,158","179,651","86,773","29,944","4,489","100","562,579","562,579","34,291","56,874","63,792","75,744","87,608","99,190","90,902","41,846","11,352","969","11","528,702","528,702","32,688","52,751","46,423","61,010","80,985","98,968","88,749","44,927","18,592","3,520","89"
"세종특별자치시  (3600000000)","391,477","391,477","38,336","54,150","36,390","57,600","76,127","59,382","39,481","19,852","8,312","1,810","37","194,897","194,897","19,478","27,406","18,657","28,520","37,294","30,851","19,618","9,526","3,136","406","5","196,580","196,580","18,858","26,744","17,733","29,080","38,833","28,531","19,863","10,326","5,176","1,404","32"
"경기도  (4100000000)","13,736,642","13,736,642","886,083","1,327,057","1,551,620","1,925,571","2,180,076","2,361,312","1,970,745","997,380","455,319","79,439","2,040","6,897,544","6,897,544","453,650","677,999","811,191","1,009,478","1,112,946","1,187,649","983,393","465,238","175,189","20,407","404","6,839,098","6,839,098","432,433","649,058","740,429","916,093","1,067,130","1,173,663","987,352","532,142","280,130","59,032","1,636"
"강원특별자치도  (5100000000)","1,507,634","1,507,634","80,314","125,158","147,150","158,661","194,350","257,486","280,254","161,077","87,773","14,978","433","758,094","758,094","41,030","64,644","82,370","85,399","99,131","132,564","140,658","75,988","32,785","3,431","94","749,540","749,540","39,284","60,514","64,780","73,262","95,219","124,922","139,596","85,089","54,988","11,547","339"
"충청북도  (4300000000)","1,596,749","1,596,749","92,762","143,164","166,306","193,232","221,367","271,421","269,970","148,702","75,556","13,955","314","813,869","813,869","47,740","73,739","91,935","107,010","115,509","139,366","137,158","70,644","27,513","3,202","53","782,880","782,880","45,022","69,425","74,371","86,222","105,858","132,055","132,812","78,058","48,043","10,753","261"
"충청남도  (4400000000)","2,136,204","2,136,204","125,744","202,628","211,083","252,246","312,974","353,387","340,310","205,333","108,882","23,151","466","1,096,950","1,096,950","64,438","104,602","116,676","138,594","167,014","187,612","174,415","98,079","39,781","5,666","73","1,039,254","1,039,254","61,306","98,026","94,407","113,652","145,960","165,775","165,895","107,254","69,101","17,485","393"
"전북특별자치도  (5200000000)","1,723,497","1,723,497","87,384","159,356","171,351","172,634","226,350","298,367","291,681","192,591","102,843","20,484","456","858,643","858,643","44,537","82,249","93,070","90,799","115,554","154,688","146,812","89,612","36,507","4,762","53","864,854","864,854","42,847","77,107","78,281","81,835","110,796","143,679","144,869","102,979","66,336","15,722","403"
"전라남도  (4600000000)","1,778,171","1,778,171","94,984","155,525","158,633","170,256","226,446","303,272","317,892","206,198","121,974","22,458","533","898,237","898,237","48,489","79,935","88,474","90,594","119,560","163,119","164,899","97,198","41,208","4,687","74","879,934","879,934","46,495","75,590","70,159","79,662","106,886","140,153","152,993","109,000","80,766","17,771","459"
"경상북도  (4700000000)","2,503,544","2,503,544","127,781","214,984","218,799","252,081","331,832","433,698","461,820","287,963","146,243","27,767","576","1,266,938","1,266,938","65,593","112,299","125,252","139,106","173,352","225,077","234,119","135,476","50,444","6,149","71","1,236,606","1,236,606","62,188","102,685","93,547","112,975","158,480","208,621","227,701","152,487","95,799","21,618","505"
"경상남도  (4800000000)","3,205,787","3,205,787","177,680","314,525","287,448","341,831","474,160","579,262","548,535","313,097","143,085","25,649","515","1,616,723","1,616,723","91,408","162,991","162,313","183,461","244,363","296,066","275,119","146,582","49,244","5,117","59","1,589,064","1,589,064","86,272","151,534","125,135","158,370","229,797","283,196","273,416","166,515","93,841","20,532","456"
"제주특별자치도  (5000000000)","663,995","663,995","43,926","70,141","65,308","76,810","102,048","118,964","98,788","53,789","27,916","6,101","204","331,791","331,791","22,483","36,051","34,900","39,100","51,454","61,475","49,717","24,896","10,404","1,298","13","332,204","332,204","21,443","34,090","30,408","37,710","50,594","57,489","49,071","28,893","17,512","4,803","191"
